,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9
ENSMUSG00000033122,0,1,0,0,1,0,0,0,0,1
ENSMUSG00000033124,886.0008475,739.9789346,1315.478962,651.7764663,869.6348078,625,694.0434226,581,542,600
ENSMUSG00000033126,55.79315427,68.39431723,72.51185178,54.85987681,63.05839658,53.01422462,50.10388363,37.04503878,49.92203345,33.00441954
ENSMUSG00000033128,743,937,1112.955033,673,987,926,881,628,641,697.9335995
ENSMUSG00000033147,111.8542074,130.0506261,118.0473187,121.0439215,163.6261165,115.8739683,107,83.00205978,124.6035272,117.7975702
ENSMUSG00000033149,72,655,189,571,827,464,489,459,623,527
ENSMUSG00000033152,34,483,121,333,592,458,455,407,415,347
ENSMUSG00000033156,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033157,100,156,161,112,180,137,154,136,139,108
ENSMUSG00000033159,572,739,683,543.9181283,723,593,711,520.0275727,575,650.470655
ENSMUSG00000033161,17928,10607,24625,10097,11662,11141,9989,7899,9137,7984
ENSMUSG00000033166,188,181,274.9830811,168,169,150,142.0113194,128,165,137
ENSMUSG00000033170,146,210,287,154,169,105,276,155,132,338
ENSMUSG00000033174,159,399,150,220,453,387,505,376,343,453
ENSMUSG00000033177,0,2,7,0,2,4,0,0,0,0
ENSMUSG00000033182,3,0,5,0,1,4,1,1,0,1
ENSMUSG00000033184,1558.13779,1870.610079,2345.951912,1843.35407,2394.356227,1768.549432,1508.449634,1599.485004,1815.023393,1525.635117
ENSMUSG00000033186,312,555.3594037,420.1401063,444.97829,620,477.7484264,395.0467825,474.1297888,526.8379444,423.504374
ENSMUSG00000033187,68,2,113,17,20,20,3.016124504,1,2,1
ENSMUSG00000033191,108,296,69.00869657,232,403,325,335.0172917,295.0237183,213,239
ENSMUSG00000033192,66,19,60,34,44,75,19,5,15,15
ENSMUSG00000033196,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000033200,21,0,75,11,11,15,1,1,0,2
ENSMUSG00000033207,6,12,3,4,16,6,15,6,10,15
ENSMUSG00000033208,6,7,7,12,10,15,5,7,10,6
ENSMUSG00000033209,179,1041,250,817,1477,886,1028,897,946,669
ENSMUSG00000033210,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033213,347,23,375,100,116,113,16,5,22,6
ENSMUSG00000033214,0,0,0,5,4,4,1,8,8,5
ENSMUSG00000033216,220,176,271,190,205,214,131,129,152,120
ENSMUSG00000033219,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033220,2587.98923,795.4729935,238.4807932,731,504,1442.349662,156,212.1537085,164.9343926,580
ENSMUSG00000033222,113,73,154,83,110,98,50,61,60,31
ENSMUSG00000033227,11,2,12,7,3,9,1,3,2,2
ENSMUSG00000033228,1053.353603,1811.683542,1337.217917,1485.882009,1686.579459,1090.446851,1225.086401,1224.74235,1640.606629,1339.491507
ENSMUSG00000033233,12,34,24,22,60,45,39,26,34,36
ENSMUSG00000033237,633,1341,812,976,1101,580,954,997,1197,930
ENSMUSG00000033249,16,109,26,67,93,90,111,64,64,55
ENSMUSG00000033253,502,616,619,424,649,397,461,478,555,402
ENSMUSG00000033255,7,8,0,3,2,4,2,1,1,1
ENSMUSG00000033256,25,27,68,27,34,40,21,9,16,17
ENSMUSG00000033257,282.0028931,403.0022272,394.0040422,263.0020679,331.0337217,202.0013737,287.0025416,298.0055507,301.0013654,309.0066692
ENSMUSG00000033268,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000033272,824,736,1203,736,1021,953,709,563,593,549
ENSMUSG00000033276,12,154,32,82,144,87,143,132,128,88
ENSMUSG00000033278,91,607,140,395.802556,681,321,496,469,549,453
ENSMUSG00000033282,60.00003103,204.0002112,76,147,186.0001004,101,122,165.0000628,183.0565248,124.0001565
ENSMUSG00000033285,286,309,265,295,335,325,252,229,283,229
ENSMUSG00000033287,61,140,34,108,125,131,101,107,96,76
ENSMUSG00000033294,186,186,284,138,171,181,156,118,119,155
ENSMUSG00000033295,3125,5300,5633,4811,6788,3661,4336,4478,5132,3540
ENSMUSG00000033306,926.7521174,786.5268353,1074.051669,743.6821076,916.831164,504.3494328,661.9614752,597.5314472,860.6840375,518.5457765
ENSMUSG00000033307,442,418,664,337,521,583,526,311,335,308
ENSMUSG00000033308,1952,115,2270,503,349,423,95,49,109,70
ENSMUSG00000033313,57,45,89,53,66,73,44,30,41,21
ENSMUSG00000033316,18,111,11,40,94,60,91,61,80,94
ENSMUSG00000033318,249.0091238,90.01841732,504.005652,170,161.1194413,220.5605243,118.003357,99,90,91.69589786
ENSMUSG00000033319,424,437,562,389,381,304,338,312,375,434
ENSMUSG00000033323,257,322,264,284,414,308,271,245,281,298
ENSMUSG00000033326,594,934,705,663,944,784,819,808,743,643
ENSMUSG00000033327,32,51,5,13,31,47,33,23,37,37
ENSMUSG00000033335,1814,1674,2228,1526,2196,1672,1379,1179,1271,1098
ENSMUSG00000033342,1,5,0,0,1,1,0,2,6,1
ENSMUSG00000033343,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033350,430.0666961,323.1672371,167.242633,230.0617414,412.031609,244.5050238,394.0119378,293.9060012,330.0579647,562.0369802
ENSMUSG00000033352,776,596.000264,1035,579,633,540,594,466,527.0002622,494.0002013
ENSMUSG00000033355,102,48,947,167,93,179,61,29,36,40
ENSMUSG00000033356,51,36,75,39,46,44,18,24,40,23
ENSMUSG00000033361,15.00122102,28.00211146,4.000462924,19.0002987,16.00305736,32.00227399,24.82032807,21.00232351,18.00095063,19.00099363
ENSMUSG00000033364,219,376.0057213,275,351.0054941,394.0413817,291.0030568,239.0598539,240.0686621,341.0002489,280.0001447
